Learning Path ID,Learning Path,Learning Path Summary,Course ID,Course Name_x,Course Summary,Price,Level,Total Jam Belajar,Rating,Jumlah Enrollment,Jumlah Modul/Tutorial,Judul Modul/Tutorial
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Instalasi OpenJDK (Windows)
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Instalasi Gradle (Linux dan macOS)
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Instalasi Gradle (Windows)
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Instalasi IntelliJ IDEA
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Program Pertama Kotlin
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Membuat Program dengan IntelliJ IDEA
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Rangkuman dari Persiapan Membangun dan Menjalankan Program Kotlin
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Kuis Persiapan Membangun dan Menjalankan Program Kotlin
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Kotlin Fundamental
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Data Types & Variable
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Char
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,String
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,String Template
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,If Expressions
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Boolean
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Numbers
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Arrays
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Nullable Types
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Safe Calls dan Elvis Operator
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Functions
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Anatomi Function
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Named dan Default Argument
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Vararg (Variable Argument)
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Rangkuman dari Kotlin Fundamental
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Kuis Kotlin Fundamental
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Komponen Control Flow
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Expressions dan Statements
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,When Expressions
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,While dan Do While
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Range
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,For Loop
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Break dan Continue
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Rangkuman dari Control Flow
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Kuis Control Flow
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Konsep Object-Oriented Programming
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Object Everywhere
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Class
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Membuat Class
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Properties
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Lateinit & Lazy Property
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Property Delegation
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Primary Constructor
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Secondary Constructor
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Visibility Modifiers
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Overloading
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Inheritances
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Abstract Class
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Interfaces
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Extensions
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Nullable Receiver
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Import dan Packages
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Membuat Package Baru
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Exception
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Exception Handling
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Rangkuman Kotlin Object-Oriented Programming
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Kuis Kotlin Object-Oriented Programming
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Special Class dan Collection
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Data Class
7,Android Developer,Kurikulum didesain dengan persetujuan dari Tim Google Android untuk mempersiapkan developer Android standar Global. Dicoding adalah Google Developer Authorized Training Partner.,80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.",Berbayar,Dasar,50,4.84,67917,132,Penggunaan Data Class
